DeepSpCas9,42.00976608306913
ED_pos,10.059887899547222
ED_len,1.157347965864907
PBS_len,10.702226860345727
RTT_len,19.722068303849454
RHA_len,9.363168436821464
ext_len,30.424295164195183
WTS_GC,52.72411570849033
PBS_GC,52.73961401699379
RTT_GC,56.74475099145369
RHA_GC,31.485435278328627
protoS_GC,53.56856474390264
ext_GC,54.9265809779355
WTS_Tm,233.82197909478043
PBS_Tm,69.16449206308596
RTT_Tm,23.19014115668816
RHA_Tm,14.905980374004814
protoS_Tm,61.42742589756106
ext_Tm,93.96672670044268
PBS_MFE,-3.181906381800853
RTT_MFE,-0.5080611334559346
protoS_MFE,-1.9511972529491495
ext_MFE,-4.665338102472015
ext_U,515.8026183596969
protoS_U,556.292029918259
